tract	mean_max_advertised_download_speed	mean_max_advertised_upload_speed
23001010100	2000.0	2000.0
23001010200	2000.0	2000.0
23001010300	1000.0	1000.0
23001010400	1000.0	1000.0
23001010500	2000.0	2000.0
23001010600	2000.0	2000.0
23001010700	2000.0	2000.0
23001010800	2000.0	2000.0
23001020100	2000.0	2000.0
23001020200	2000.0	2000.0
23001020301	2000.0	2000.0
23001020302	2000.0	2000.0
23001020303	2000.0	2000.0
23001020401	2000.0	2000.0
23001020402	2000.0	2000.0
23001020500	2000.0	2000.0
23001020600	2000.0	2000.0
23001020700	2000.0	2000.0
23001020801	2000.0	2000.0
23001020802	2000.0	2000.0
23001020900	2000.0	2000.0
23001030100	2000.0	2000.0
23001030200	2000.0	2000.0
23001040000	2000.0	2000.0
23001041000	2000.0	2000.0
23001041500	1000.0	1000.0
23001042000	1000.0	1000.0
23001043000	1000.0	1000.0
23001044000	1000.0	35.0
23001045000	1000.0	35.0
23001046000	2000.0	2000.0
23001046500	2000.0	2000.0
23003950100	1000.0	500.0
23003950200	1000.0	35.0
23003950300	1000.0	35.0
23003950400	1000.0	35.0
23003950600	1000.0	35.0
23003950700	1000.0	35.0
23003950900	1000.0	35.0
23003951000	1000.0	1000.0
23003951100	1000.0	1000.0
23003951200	1000.0	1000.0
23003951300	1000.0	1000.0
23003951400	1000.0	105.0
23003951600	1000.0	1000.0
23003951700	1000.0	1000.0
23003951800	1000.0	1000.0
23003951900	1000.0	1000.0
23003952000	1000.0	1000.0
23003952100	1000.0	1000.0
23003952300	1000.0	1000.0
23003952400	1000.0	1000.0
23003952500	1000.0	1000.0
23003952600	1000.0	1000.0
23003952700	1000.0	1000.0
23003952900	1000.0	1000.0
23005000100	2000.0	2000.0
23005000200	2000.0	2000.0
23005000300	1000.0	35.0
23005000500	2000.0	2000.0
23005000600	2000.0	2000.0
23005001000	2000.0	2000.0
23005001100	2000.0	2000.0
23005001200	2000.0	2000.0
23005001300	2000.0	2000.0
23005001500	2000.0	2000.0
23005001700	2000.0	2000.0
23005001800	2000.0	2000.0
23005001900	2000.0	2000.0
23005002001	2000.0	2000.0
23005002002	2000.0	2000.0
23005002101	2000.0	2000.0
23005002102	2000.0	2000.0
23005002200	2000.0	2000.0
23005002300	2000.0	2000.0
23005002400	1000.0	1000.0
23005002501	2000.0	2000.0
23005002503	2000.0	2000.0
23005002504	2000.0	2000.0
23005002600	1000.0	1000.0
23005002700	1000.0	1000.0
23005002800	1000.0	1000.0
23005002901	1000.0	1000.0
23005002902	1000.0	1000.0
23005003001	2000.0	2000.0
23005003002	2000.0	2000.0
23005003100	2000.0	2000.0
23005003200	2000.0	2000.0
23005003300	2000.0	2000.0
23005003400	2000.0	2000.0
23005003500	2000.0	2000.0
23005003701	2000.0	2000.0
23005003702	2000.0	2000.0
23005004001	1000.0	150.0
23005004002	1000.0	1000.0
23005004100	1000.0	1000.0
23005004201	1000.0	35.0
23005004202	1000.0	1000.0
23005004401	1000.0	1000.0
23005004402	1000.0	1000.0
23005004501	1200.0	1000.0
23005004502	1200.0	50.0
23005004600	1000.0	1000.0
23005004701	1000.0	1000.0
23005004702	1000.0	1000.0
23005004802	1000.0	1000.0
23005004803	1000.0	35.0
23005004804	1000.0	1000.0
23005004805	1000.0	1000.0
23005011100	1200.0	35.0
23005011203	1200.0	1000.0
23005011204	1200.0	1000.0
23005011205	1200.0	1000.0
23005011206	1200.0	1000.0
23005011300	2000.0	2000.0
23005011500	1000.0	1000.0
23005012001	1000.0	35.0
23005012002	1000.0	35.0
23005013001	1000.0	35.0
23005013002	1000.0	35.0
23005014001	1000.0	35.0
23005014002	1000.0	35.0
23005015000	1000.0	500.0
23005016001	1000.0	35.0
23005016002	1000.0	35.0
23005016500	1000.0	35.0
23005017002	1000.0	250.0
23005017003	1000.0	35.0
23005017004	1000.0	35.0
23005017101	1200.0	35.0
23005017102	1200.0	35.0
